name,name-bot,section
Abdusattorov,Abdusattorov,Top Players-section
Agadmator,AgadmatorBot,Personalities-section
Ahmed,Ahmed-Bot,Master-section
Alexander,Alexander-Bot,Master-section
Alexandra,Alexandra-BOT,Streamers-section
Ali,Ali-Bot,Intermediate-section
Aman,Aman-Bot,Streamers-section
Andrea,Andrea-Bot,Streamers-section
AngryCat,AngryDinnerCatBot,Cats-section
Anna,Anna-Bot,Streamers-section
Antonio,Antonio-Bot,Advanced-section
Arjun,Arjun-Bot,Master-section
Aron,Aron-Bot,Beginner-section
Aronian,AronianBot1,Top Players-section
Arthur,Arthur-Bot,Advanced-section
Azeez,Azeez-Bot,Intermediate-section
Barron Wuffet,BarronWuffetBot,Billionaires-section
Bartosz,bartoszbot,Streamers-section
Biff Jezos,BiffJezosbot,Billionaires-section
Bok,bokbot,Top Players-section
boxbox,boxboxbot,Streamers-section
Canty,Canty-Bot,Streamers-section
Catspurrov,CatspurrovBot,Cats-section
Charles,Charles-Bot,Advanced-section
CoachDante,CoachDanteBot,Coach-section
CodeMiko,codemikobot,Streamers-section
Cramling,CramlingBot,Streamers-section
Danny,Danny-bot,Personalities-section
Danya,Naroditsky-Bot,Top Players-section
Dash,Dash-Bot,Holiday-section
David,David-Bot,Intermediate-section
Dawid,DawidBot,Personalities-section
Devon,Devon-Bot,Adaptive-section
Elani,Elani-Bot,Beginner-section
Elena,Elena-Bot,Intermediate-section
Emir,Emir-Bot,Intermediate-section
Eric,Eric-Bot,Streamers-section
Eve,Eve-Bot,Holiday-section
Fabian,Fabian-Bot,Beginner-section
Fabiano,Caruanabot,Top Players-section
Fatima,Fatima-Bot,Advanced-section
Filip,Filip-Bot,Beginner-section
Francis,Francis-Bot,Master-section
Fundy,FundyBot,Streamers-section
FunMasterMike,Funmastermikebot,Personalities-section
Gill Bates,GillBatesBot,Billionaires-section
Giri,Giri-Bot,Top Players-section
GothamChess,GothamChess-Bot,Streamers-section
Hafu,HafuBot,Streamers-section
Hans,Hans-Bot,Intermediate-section
HarryMack,Harrymackbot,Streamers-section
Hikaru,Hikaru-bot,Top Players-section
Holly,Holly-Bot,Holiday-section
Ian,NepomniachtchiBot,Top Players-section
Isabel,Isabel-Bot,Advanced-section
Isla,Isla-Bot,Advanced-section
Jade,Jade-Bot,Intermediate-section
Janjay,Janjay-Bot,Beginner-section
Jimmy,Jimmy-Bot,Adaptive-section
Joel,Joel-Bot,Advanced-section
Jonas,Jonas-Bot,Advanced-section
Juan,Juan-Bot,Beginner-section
Julia,Julia-Bot,Advanced-section
Karim,Karim-Bot,Beginner-section
Kevin,Kevin-Bot,Personalities-section
Komodo1,komodo1,Engine-section
Komodo25,Komodo25,Engine-section
Kosteniuk,Kosteniuk-Bot,Top Players-section
Kramnik,Kramnik-Bot,Top Players-section
Krikor,Krikor-BOT,Personalities-section
Laura,Laura-Bot,Intermediate-section
Li,Li-Bot,Advanced-section
Lorenzo,Lorenzo-Bot,Advanced-section
Ludwig,ludwigbot,Streamers-section
Luison,Luison-BOT,Personalities-section
Luke,Luke-Bot,Master-section
M3GAN,M3GANBOT,Cats-section
M3GAN4,M3GANbot4,Cats-section
Manuel,Manuel-Bot,Advanced-section
Maria,Maria-Bot,Intermediate-section
Martin,Martin-Bot,Beginner-section
Mateo,Mateo-Bot,Intermediate-section
Maurice,Maurice-Bot,Personalities-section
Maxim,Maxim-Bot,Intermediate-section
Melon Husk,MelonHuskBot,Billionaires-section
Miguel,Miguel-Bot,Advanced-section
Milica,Milica-Bot,Beginner-section
Mina,Mina-Bot,Beginner-section
Mittens,MittensBot,Cats-section
Morphy,Morphy-Bot,Top Players-section
MrBeast,mrbeastbot,Streamers-section
MrGrumpers,MrGrumpersBot,Cats-section
Natasha,Natasha-Bot,Adaptive-section
Naycir,Naycirbot,Streamers-section
Neeko,neekobot,Streamers-section
Nelson,Nelson-Bot,Intermediate-section
Nemo,nemobot1,Streamers-section
Nisha,Nisha-Bot,Adaptive-section
Noam,Noam-Bot,Master-section
Noel,Noel-Bot,Beginner-section
Nora,Nora-Bot,Master-section
Olga,Olga-Bot,Advanced-section
Oliver,Oliver-Bot,Beginner-section
Oscar,Oscar-Bot,Advanced-section
Pablo,Pablo-Bot,Advanced-section
Pandolfini,PandolfiniBot,Personalities-section
Phiona,PhionaBot,Personalities-section
Pierre,Pierre-Bot,Advanced-section
Pokimane,pokimanebot,Streamers-section
Powder,Powder-Bot,Holiday-section
QTCinderella,QTcinderellabot,Streamers-section
Robert,Robert-BOT,Personalities-section
Sakura,Sakura-Bot,Master-section
Samay,Samay-Bot,Streamers-section
Santa,Santa-Bot,Holiday-section
Santiago,Santiago-Bot,Beginner-section
Sardoche,SardocheBot,Streamers-section
ScaredyCat,ScaredyCatBot,Cats-section
Sofia,Sofia-Bot,Master-section
Sven,Sven-Bot,Intermediate-section
Tectone,tectonebot,Streamers-section
Tomas,Tomas-Bot,Adaptive-section
Vidit,viditbot,Top Players-section
Vinh,Vinh-Bot,Intermediate-section
Vishy,Vishy-Bot,Top Players-section
Voyboy,VoyboyBot,Streamers-section
Wally,Wally-Bot,Advanced-section
Wayne,Wayne-Bot,Beginner-section
Wei,Wei-Bot,Master-section
Wendy,Wendy-Bot,Advanced-section
Wesley,wesleysobot,Top Players-section
Wilson,Wilson-Bot,Intermediate-section
Xavier,Xavier-Bot,Advanced-section
xQc,xQc-Bot,Streamers-section
Zara,Zara-Bot,Beginner-section
Zark Muckerberg,ZarkMuckerbergBot,Billionaires-section
